image,category1,category2,position
lily.png,lawful,good,1
fahmida.png,lawful,good,2 
amy.png,neutral,good,1
domhnall.png,neutral,good,2 
elena-c.png,neutral,good,3 
humera.png,neutral,good,4 
giovana.png,neutral,good,5
catharina.png,neutral,good,6 
minami.png,chaotic,good,1 
soma.png,chaotic,good,2 
harry.png,chaotic,good,3 
andrew.png,lawful,neutral,1 
lindsey.png,lawful,neutral,2 
aseem.png,lawful,neutral,3 
elena-m.png,neutral,neutral,1 
max.png,neutral,neutral,2 
yi.png,neutral,neutral,3 
satu.png,neutral,neutral,4 
shaleen.png,chaotic,evil,1 
