,Category,_SubCategory,_count,new
0,Home Furnishings,Wall and Window Covering,98,
1,Home Furnishings,Ornaments,62,
2,Home Furnishings,Appliances,163,
3,Home Furnishings,Linen,1511,Linen
4,Home Furnishings,Floor Covering,43,
5,Home Furnishings,All Other Furnishings,652,
6,Home Furnishings,Dishware,767,
7,Sports Equipment,Bats,15,
8,Sports Equipment,Scooter,97,
9,Sports Equipment,Golf Club,6,
10,Sports Equipment,Ball,316,
11,Sports Equipment,Skateboard,79,
12,Sports Equipment,Binocular,26,
13,Sports Equipment,Electric Motor Scooter,2,
14,Sports Equipment,Protective Gear,486,
15,Sports Equipment,Hockey Stick,10,
16,Sports Equipment,Sports Racket,148,
17,Sports Equipment,Bicycle,229,
18,Sports Equipment,Skis,3,
19,Sports Equipment,All Other sports equipment,596,
20,Medical Equipment & Medication,Insulin Pump,91,
21,Medical Equipment & Medication,Medication,6129,Medication
22,Medical Equipment & Medication,X - Rays,102,
23,Medical Equipment & Medication,Other,524,
24,Medical Equipment & Medication,Walker,15,
25,Medical Equipment & Medication,Wheel Chair,19,
26,Medical Equipment & Medication,Blood Pressure Meter,65,
27,Medical Equipment & Medication,All Other Medical Equipment / Supplies,946,
28,Medical Equipment & Medication,Electric wheelchair/scooter,3,
29,Medical Equipment & Medication,Cane,668,
30,Medical Equipment & Medication,Diabetic Testing Equipment,140,
31,Medical Equipment & Medication,Glucose Meter,334,
32,Tools,Tools,1407,Tools
33,Tools,Tool Box,82,
34,Tools,Tool Belt,29,
35,Keys,Car,2524,Car
36,Keys,House,13296,House
37,Keys,Electronic key card,653,
38,Keys,All Other keys,3824,All Other keys
39,Tickets,Transit Check,195,
40,Tickets,All Other Tickets,604,
41,Tickets,NJ Transit,462,
42,Tickets,Metro North Tickets,256,
43,Tickets,Lottery Tickets,791,
44,Tickets,Entertainment Tickets,142,
45,Tickets,MTA Metrocard,55151,MTA Metrocard
46,Tickets,LIRR Tickets,413,
47,Tickets,Airline,123,
48,Book,Photo album,46,
49,Book,Paperback,7035,Paperback
50,Book,Address book,854,
51,Book,Soft cover,3925,Soft cover
52,Book,Other,954,
53,Book,Diary,687,
54,Book,Hard Cover,3792,Hard Cover
55,NYCT Equipment,Vest,19,
56,NYCT Equipment,Badge,63,
57,NYCT Equipment,Radio,8,
58,NYCT Equipment,Pass or Badge holder,17,
59,NYCT Equipment,All other NYCT Equiment,64,
60,NYCT Equipment,Epic pass,426,
61,Currency,Gift Card ,3658,Gift Card 
62,Currency,Payroll check,1177,Payroll check
63,Currency,Money Order,229,
64,Currency,Personal Check,1707,Personal Check
65,Currency,Travelers Checks ,21,
66,Currency,Other Currency,207,
67,Currency,Cash,44772,Cash
68,Currency,Foreign Currency,2805,Foreign Currency
69,Musical Instrument,Flute,111,
70,Musical Instrument,Musical instrument accessories,84,
71,Musical Instrument,Clarinet,98,
72,Musical Instrument,All Other Instruments,142,
73,Musical Instrument,Guitar,60,
74,Musical Instrument,Violin,114,
75,Musical Instrument,Harmonica,9,
76,Musical Instrument,Saxophone,41,
77,Musical Instrument,Trumpet,96,
78,Jewelry,Fashion (Costume),3687,Fashion (Costume)
79,Jewelry,Cuff Links,10,
80,Jewelry,Necklace,525,
81,Jewelry,Watch,1941,Watch
82,Jewelry,Ring,1306,Ring
83,Jewelry,Bracelet,834,
84,Jewelry,Earrings,453,
85,Jewelry,All other Jewelry,185,
86,Jewelry,Tie Clips,2,
87,Electronics,Digital Camera,978,
88,Electronics,USB Drive,698,
89,Electronics,Portable radio,343,
